tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt0015214,movie,At 3:25,Paris qui dort,0,1925,\N,59,Sci-Fi,7.1,1981
tt0015224,movie,Peter Pan,Peter Pan,0,1924,\N,105,"Adventure,Family,Fantasy",7.1,1275
tt0015324,movie,Sherlock Jr.,Sherlock Jr.,0,1924,\N,45,"Action,Comedy,Romance",8.2,57586
tt0015361,movie,Strike,Stachka,0,1925,\N,82,Drama,7.6,8676
tt0015400,movie,The Thief of Bagdad,The Thief of Bagdad,0,1924,\N,155,"Adventure,Family,Fantasy",7.7,7028
tt0015532,movie,The Adventures of Prince Achmed,Die Abenteuer des Prinzen Achmed,0,1926,\N,80,"Adventure,Animation,Family",7.8,6937
tt0015624,movie,The Big Parade,The Big Parade,0,1925,\N,151,"Drama,Romance,War",7.9,7328
tt0015634,movie,Body and Soul,Body and Soul,0,1925,\N,102,"Crime,Drama,Thriller",6.2,1199
tt0015648,movie,Battleship Potemkin,Bronenosets Potyomkin,0,1925,\N,66,"Drama,History,Thriller",7.9,61666
tt0015768,movie,Master of the House,Du skal ære din hustru,0,1925,\N,111,"Comedy,Drama",7.0,2390
tt0015772,movie,The Eagle,The Eagle,0,1925,\N,73,"Action,Adventure,Comedy",6.6,2286
tt0015841,movie,The Freshman,The Freshman,0,1925,\N,77,"Comedy,Family,Romance",7.5,6101
tt0015842,movie,The Joyless Street,Die freudlose Gasse,0,1925,\N,125,Drama,7.1,1726
tt0015863,movie,Go West,Go West,0,1925,\N,69,"Comedy,Western",7.1,5042
