tconst,directors,writers
tt0105480,nm0004111,"nm0301741,nm0533636,nm0004111,nm0721825"
tt0105481,nm0446060,"nm0093271,nm0720334"
tt0105483,nm0001486,nm0043334
tt0105488,nm0525303,"nm0525303,nm0100597,nm0668902"
tt0105500,nm0474859,"nm0417558,nm0474859"
tt0105508,nm0435788,"nm0435788,nm0022487"
tt0105526,nm0002089,"nm0002089,nm0622355,nm0298207,nm0121653"
tt0105534,nm0150906,"nm0150906,nm0150977,nm0938944,nm0950699"
tt0105569,nm0875354,nm0875354
tt0105572,nm0093271,"nm0567489,nm0093271"
tt0105573,nm0680250,nm0680250
tt0105575,nm0080245,nm0352032
tt0105577,nm0001188,"nm0938487,nm0001188,nm0258286"
tt0105585,nm0000776,nm0299301
tt0105592,nm0538614,nm0560927
tt0105597,nm0383605,nm0383605
tt0105599,nm0474837,nm0802143
tt0105602,nm0548648,nm0548648
tt0105616,nm0738736,"nm0548808,nm0360253,nm0053484"
tt0105619,nm0864775,nm0789966
tt0105622,nm0613487,nm0613487
tt0105629,nm0001469,"nm0193224,nm0001469"
tt0105631,nm0938490,nm0682063
tt0105636,nm0001353,"nm0301826,nm0000709"
tt0105643,nm0289576,"nm0238489,nm0289576"
tt0105645,nm0718001,"nm0275368,nm5384247"
tt0105652,nm0000487,"nm0000487,nm0770005"
tt0105654,nm0687739,"nm0687739,nm0568394,nm0895509"
tt0105655,"nm0155642,nm0498064","nm0149222,nm0848826,nm0844036,nm0007139"
tt0105665,nm0000186,"nm0000186,nm0257306,nm0004111"
tt0105682,nm0767110,"nm0767110,nm0276466,nm0867374,nm0880606"
tt0105690,nm0001112,nm0493369
tt0105691,nm0601881,nm0601881
tt0105695,nm0000142,nm0672459
tt0105698,nm0000386,"nm0745330,nm0500609,nm0002041"
tt0105699,nm0438279,"nm0701217,nm0441205,nm0171474"
tt0105706,nm0452319,nm0333804
tt0105719,nm0906901,nm0420135
tt0105750,nm0442454,"nm0613860,nm0442454"
tt0105764,"nm0322083,nm0565342,nm0760523",nm0565342
tt0105789,"nm0422791,nm0825790",nm0422791
tt0105790,nm0350455,"nm0808350,nm0697701"
tt0105792,nm0382776,nm0382776
tt0105793,nm0790715,"nm0000196,nm0877425,nm0877901"
tt0105807,nm0410045,"nm0410045,nm0943633"
tt0105809,nm0277393,"nm0877945,nm0277393"
tt0105810,nm0733692,"nm0330195,nm0903717,nm0733692"
tt0105811,nm0189610,nm0189610
tt0105812,nm0005421,nm0005421
tt0105813,nm0002044,nm0002417
tt0105819,nm0455394,nm0455394
tt0105824,nm0050597,"nm0071312,nm0891094,nm0515262,nm0943382,nm0345637"
tt0105839,nm0007139,"nm0150909,nm0848826,nm0007139"
tt0105851,nm0482681,nm0620609
tt0105859,"nm0498064,nm0155642,nm0007139","nm0848826,nm0372099,nm0007139"
tt0105869,nm0457479,"nm0452837,nm0007139,nm0844036"
tt0105871,nm0946811,nm0001279
tt0105884,nm0813786,nm0476708
tt0105885,nm0237292,nm0237292
tt0105888,nm0452102,nm0452102
tt0105916,nm0638324,nm0638324
tt0106185,nm0772259,nm0568605
tt0106204,nm0223522,nm0063357
tt0106215,nm0407067,"nm0346277,nm0407067"
tt0106218,nm0887452,nm0700605
tt0106220,nm0001756,"nm0011623,nm0397411"
tt0106223,nm0814085,"nm0878494,nm0814085"
tt0106226,nm0000217,"nm0923585,nm0168379,nm0000217"
tt0106233,nm0101385,"nm0031894,nm0568544"
tt0106246,nm0550881,"nm0713872,nm0788234"
tt0106257,nm0104096,"nm0490417,nm1255730,nm0117139"
tt0106258,nm0278735,nm0179337
tt0106260,nm0351410,"nm0351410,nm0880928"
tt0106266,nm0296861,nm0296861
tt0106292,nm0000824,nm0467942
tt0106301,nm0006445,nm0006445
tt0106303,nm0557751,nm0482780
tt0106305,nm0575523,nm0575523
tt0106307,nm0001437,"nm0040575,nm0001437"
tt0106308,nm0000600,"nm0000600,nm0706898"
tt0106309,nm0002184,nm0696267
tt0106315,nm0367895,nm0367895
tt0106330,nm0368690,nm0368690
tt0106332,nm0155280,"nm0497762,nm0523760"
tt0106333,"nm0122216,nm0122217","nm0080327,nm0452021,nm0796503"
tt0106335,nm0000425,nm0000425
tt0106339,nm0812200,"nm0812200,nm0859241,nm0911853"
tt0106341,nm0208854,nm0208854
tt0106342,nm0950553,"nm1295635,nm0398871,nm0442983,nm0849283,nm0950553"
tt0106343,nm0398871,"nm0398871,nm0950553"
